IdSuj;Order;EVOO_Group;Sensory_A_index;Decisiom_B_Index;Differential_Preference;WTP
1;1;A;0,233333333;0,666666667;2;4
1;2;B;0,5;-0,923076923;0;3,7
1;4;C;0,766666667;-0,666666667;3;4
1;3;D;0,766666667;0,666666667;-1;3,3
2;2;A;0,5;0;-1;4,5
2;3;B;0,5;0;4;5,3
2;1;C;0,766666667;-0,666666667;6;1
2;4;D;0,9;0;3;1,8
3;3;A;0,5;0;-2;3
3;4;B;0,233333333;-0,666666667;1;3
3;2;C;0,766666667;-0,666666667;2;4
3;1;D;0,5;0;-2;3
4;4;A;0,5;0;0;2,7
4;1;B;0,233333333;0,666666667;1;3,2
4;3;C;0,5;0;2;3,5
4;2;D;0,5;0,923076923;4;3,5
9;1;A;0,766666667;0,666666667;8;5,5
9;2;B;0,9;0;4;3,5
9;4;C;0,9;0;7;5,5
9;3;D;0,9;0;-2;5,5
10;2;A;0,5;0;0;4
10;3;B;0,766666667;-0,666666667;2;4,1
10;1;C;0,9;0;2;4,1
10;4;D;0,9;0;2;4,3
11;3;A;0,5;0;0;6,3
11;4;B;0,766666667;-0,666666667;2;5,5
11;2;C;0,5;0,923076923;6;7,7
11;1;D;0,5;-0,923076923;0;5,4
16;4;A;0,9;0;-1;3,4
16;1;B;0,233333333;0,666666667;4;3,9
16;3;C;0,766666667;0,666666667;-6;3,9
16;2;D;0,766666667;0,666666667;9;2,8