IdSuj;Order;EVOO_Type;Expectation;Sensory_A_index;Decisiom_B_Index;Differential_Preference;WTP
1;1;Ripe;Lenient;0,897222222;-0,5;2;3,8
1;2;Ripe;Conservative;0,897222222;0,5;4;4,1
1;4;Green;Lenient;0,897222222;-0,5;3;3,9
1;3;Green;Conservative;0,897222222;0,5;4;4,1
2;2;Ripe;Lenient;0,441666667;-0,75;1;3,2
2;3;Ripe;Conservative;0,189285714;0,125;1;3,3
2;1;Green;Lenient;0,441666667;-0,75;4;2,5
2;4;Green;Conservative;0,708333333;-0,5;4;2,2
3;3;Ripe;Lenient;0,291666667;-0,5;-1;3,2
3;4;Ripe;Conservative;0,189285714;0,125;2;3,9
3;2;Green;Lenient;0,810714286;0,125;2;4
3;1;Green;Conservative;0,558333333;-0,75;-1;3,2
4;4;Ripe;Lenient;0,810714286;0,125;0;2
4;1;Ripe;Conservative;0,291666667;0,5;2;2,9
4;3;Green;Lenient;0,441666667;-0,75;2;3,5
4;2;Green;Conservative;0,558333333;-0,75;0;3,4
9;1;Ripe;Lenient;0,189285714;-0,125;0;4,3
9;2;Ripe;Conservative;0,441666667;0,75;0;2,4
9;4;Green;Lenient;0,708333333;0,5;0;2,4
9;3;Green;Conservative;0,810714286;-0,125;7;4,4
10;2;Ripe;Lenient;0,441666667;-0,75;1;3,3
10;3;Ripe;Conservative;0,708333333;-0,5;0;3,5
10;1;Green;Lenient;0,691666667;-0,928571429;0;3,5
10;4;Green;Conservative;0,308333333;-0,928571429;0;3,5
11;3;Ripe;Lenient;0,441666667;-0,75;2;3,5
11;4;Ripe;Conservative;0,708333333;-0,5;-2;3,6
11;2;Green;Lenient;0,708333333;0,5;-2;3,5
11;1;Green;Conservative;0,708333333;-0,5;-2;3,5
16;4;Ripe;Lenient;0,291666667;-0,5;3;4
16;1;Ripe;Conservative;0,558333333;-0,75;2;3,7
16;3;Green;Lenient;0,708333333;0,5;4;3,6
16;2;Green;Conservative;0,441666667;0,75;7;3,9